venue,matches,innings,highest_score,lowest_score,average_1st_innings,average_2nd_innings,batting_first_win_percentage,chasing_win_percentage
Wankhede Stadium,132,266,249,8,173.13,162.05,44.7,54.55
Eden Gardens,106,212,262,7,169.99,154.69,42.45,56.6
Arun Jaitley Stadium,103,210,278,7,172.88,158.39,45.63,52.43
M. Chinnaswamy Stadium,103,208,287,2,173.81,157.2,42.72,54.37
MA Chidambaram Stadium,98,200,246,7,165.56,152.34,52.04,45.92
Rajiv Gandhi International Stadium,89,180,286,15,168.74,156.61,44.94,53.93
Sawai Mansingh Stadium,68,136,229,59,169.06,155.84,35.29,64.71
Punjab Cricket Association IS Bindra Stadium,61,122,257,67,168.28,157.36,44.26,55.74
Narendra Modi Stadium,53,108,243,6,180.68,162.23,49.06,49.06
Dubai International Cricket Stadium,46,100,219,2,163.76,149.09,45.65,47.83
Dr DY Patil Sports Academy,37,74,216,82,159.65,148.0,45.95,54.05
Maharashtra Cricket Association Stadium,35,70,211,73,168.29,149.29,51.43,48.57
Sheikh Zayed Stadium,29,62,206,2,158.86,145.62,37.93,55.17
Bharat Ratna Shri Atal Bihari Vajpayee Ekana Cricket Stadium,28,58,235,1,176.57,166.46,39.29,57.14
Sharjah Cricket Stadium,28,56,228,85,159.04,147.5,35.71,64.29
Brabourne Stadium,27,54,217,68,178.52,166.11,51.85,48.15
"Maharaja Yadavindra Singh International Cricket Stadium, Mullanpur",17,34,254,95,186.59,176.06,47.06,52.94
Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium,17,34,272,76,169.53,141.94,47.06,52.94
Subrata Roy Sahara Stadium,16,32,187,99,149.44,133.56,62.5,37.5
Kingsmead,15,30,211,79,152.0,138.2,53.33,46.67
SuperSport Park,12,24,189,105,154.83,149.58,33.33,66.67
Saurashtra Cricket Association Stadium,10,22,213,6,168.9,162.7,30.0,60.0
"Himachal Pradesh Cricket Association Stadium, Dharamsala",9,18,254,139,214.44,187.56,66.67,33.33
Holkar Cricket Stadium,9,18,245,88,160.33,158.78,11.11,88.89
Himachal Pradesh Cricket Association Stadium,9,18,232,116,175.67,146.22,55.56,44.44
Shaheed Veer Narayan Singh International Stadium,8,16,194,119,154.5,153.0,25.0,75.0
Barsapara Cricket Stadium,8,16,202,123,168.88,157.62,50.0,50.0
New Wanderers Stadium,8,16,166,123,144.0,142.5,37.5,62.5
"Zayed Cricket Stadium, Abu Dhabi",8,16,235,92,159.0,150.38,37.5,62.5
JSCA International Stadium Complex,7,14,189,114,149.0,144.71,28.57,71.43
St George's Park,7,14,187,87,159.0,131.43,42.86,57.14
Barabati Stadium,7,14,231,126,167.71,157.71,57.14,42.86
Newlands,7,16,184,15,139.43,112.57,57.14,28.57
Nehru Stadium,5,10,162,74,146.8,125.8,60.0,40.0
Green Park,4,8,197,124,161.25,163.25,0.0,100.0
De Beers Diamond Oval,3,6,169,113,158.0,141.0,33.33,66.67
Buffalo Park,3,6,178,100,147.33,119.0,66.67,33.33
"Vidarbha Cricket Association Stadium, Jamtha",3,6,159,138,149.33,144.67,66.67,33.33
OUTsurance Oval,2,4,150,120,135.0,129.5,50.0,50.0
